Date,Country,Event
2020-02-01,Australia,"Australia's Department of Health (Australia)|Department of Health issued directives, going into effect from 1 February. Accordingly, travel advisory was increased to level 4: do not travel to all of mainland China. All travellers arriving out of mainland China were asked to self-isolate for a period of 14 days from the time of leaving. Additional border measures were implemented to deny entry of people who have arrived from the mainland China, with the exception of Australian citizens, permanent residents and their immediate family and air crews who have been using appropriate personal protective equipment."
2020-02-01,China,"International border gates Móng Cái (Quảng Ninh Province, Vietnam) - Dongxing, Guangxi|Dongxing (Guangxi, China) ceased functioning on 1 February for an unspecified time; border gates Hoành Mô and Bắc Phong Sinh experienced a 24-hour closure, awaiting further measurements from authorities."
2020-02-01,China,"Taiwan barred nationals from Guangdong (mainland China) and travellers who recently visited the area will be subject to a mandatory 14-day quarantine, from entry beginning 1 February."
2020-02-01,Vietnam,"With the sixth case being another domestic transmission, Vietnamese Prime Minister Nguyễn Xuân Phúc signed an epidemic declaration."
2020-02-01,India,India banned the export of N95 masks with immediate effect.
2020-02-01,Japan,"The Government of Japan barred: entry of foreign nationals infected with the virus, and entry of Chinese citizens with passports issued in Hubei province."
2020-02-01,Germany,"102 German citizens and 26 relatives, all of whom were symptom-free on departure, were evacuated from the Wuhan region to Frankfurt am Main by the Executive Transport Wing (German Air Force)|Executive Transport Wing of the German Air Force. After their return, they were placed in quarantine in a military barrack in Rhineland-Palatinate for 14 days."
2020-02-01,Canada,"Trinidad and Tobago's travel restrictions on persons arriving from China goes into full effect. Persons now have to wait 14 days after leaving China before being able to enter Trinidad & Tobago. Additionally persons who may already be at a port of entry and who were in China or are showing symptoms will be subject to quarantine measures. Thermal screening is also being conducted on passengers arriving from Canada, Panama, the United Kingdom and the United States. Testing will also be done by the Caribbean Public Health Agency (CARPHA) on 3 February."
2020-02-01,China,Qatar Airways has suspended flights to mainland China from 3 February until further notice.
2020-02-01,China,Princess Cruises announces restrictions on crew members and guests who have recently travelled within mainland China. Guests who have traveled through or in mainland China 14 days prior to the scheduled departure of their cruise will not be allowed to board. Crew members from mainland China are prohibited from getting on any ship until further notice from the company. Crew members scheduled on connecting flights to China have been rerouted. Two cruises in June have been cancelled and two cruises have been rerouted to arrive or depart in Tokyo instead of Shanghai.
2020-02-02,China,"New Zealand has temporarily banned all foreign nationals travelling from, or transiting through mainland China after 2 February to assist the containment of the coronavirus into New Zealand and the Pacific Islands. Foreign travelers in transit to New Zealand on 2 February will be subject to enhanced scanning but pending clearance will be allowed into New Zealand. New Zealand citizens and permanent residents, and their immediate family members, will be allowed to enter New Zealand but must self-isolate for 14 days. The ban will last for 14 days but will be reviewed every 48 hours."
2020-02-02,China,"The Philippines has temporarily banned foreigners arriving from China and its territories, including those who visited such areas within the past 14 days, from entering the country; Filipino citizens and permanent residents of the Philippines arriving from such would have to undergo quarantine for 14 days. Travel from Philippines to China and its territories have been temporarily banned as well."
2020-02-02,Korea,"According to a diplomatic note distributed to foreign residents in North Korea, North Korean authorities have suspended the flight route between Pyongyang and Vladivostok performed by Air Koryo’s."
2020-02-02,Korea,"South Korean Prime Minister Chung Sye-kyun announced to the public the entry barring of all foreign nationals, who have been to Hubei Province since 21 January, will go into effect starting 4 February for an unspecified time. Also, the visa-free policy for Chinese citizens to visit Jeju Island is to be temporarily nullified."
2020-02-02,China,Indonesia banned all flights from and to Mainland China starting from 5 February. The government also stopped giving free visa and visa on arrival for Chinese nationals. They banned those who live or stay in Mainland China for at least 14 days before from entering or transiting Indonesia. Indonesians are discouraged from travelling to China.
2020-02-02,Vietnam,"The Vietnamese Ministry of Labour, Invalids and Social Affairs (Vietnam)|Ministry of Labors, Invalids and Social Affairs issued directive on temporary suspension to Chinese labours returning to work after public holidays."
2020-02-02,United Arab Emirates,"Numerous landmark buildings in the United Arab Emirates lit up a Sunday night showing support for Wuhan and Chinese communities around the world over pain and horror by the novel coronavirus, namely: the Burj Khalifa, ADNOC Headquarters, the Capital Gate, Abu Dhabi Global Market, Emirates Palace, Sheikh Zayed Bridge, Burj Al Arab, Hazza bin Zayed Stadium, etc."
2020-02-02,China,"AirAsia Philippines, Philippine Airlines and Cebu Pacific, has suspended flights to and from mainland China, Macau and Hong Kong."
2020-02-02,Other,Group of Seven countries are seeking a unified approach to combat the spread.
2020-02-03,China,The Government of Maldives denies entry to passengers arriving from China.
2020-02-03,Hong Kong,"Hong Kong announced further tightening of border with the mainland. Beginning 00:00 on 4 February, the special administrative region closed most of its border crossings, except  the Hong Kong International Airport, the Shenzhen Bay Port and the Hong Kong-Zhuhai-Macau Bridge."
2020-02-03,China,Indonesia set to ban live animal imports from China as coronavirus fears grow.
2020-02-03,Japan,"The Japanese authorities denied entry to any foreign nationals who have been to Hubei province in the past 14 days, even if there is no symptoms of the virus."
2020-02-03,Venezuela,"The Venezuelan government announced that the country has imposed epidemiological surveillance, restrictions and diagnostic system to detect possible coronavirus patients at the Simón Bolívar International Airport (Venezuela)|Simón Bolívar International Airport in Maiquetía, Venezuela's main international airport, and that Venezuela will receive a diagnostic kit for the virus strain from the Pan American Health Organization (PAHO)."
2020-02-03,Other,Lunar New Year holidays was extended for one week to all K-12|k-through-12 students in Ho Chi Minh City; public schools will resume on 10 February.
2020-02-03,China,"The global Cruise Lines International Association bans trips to mainland China and says that it \""will deny boarding to any individual, whether guest or crew, who has travelled from or through mainland China within the previous 14 days.\"""
2020-02-03,China,Boise State University suspends travel to and from China.
2020-02-03,Other,"At a news briefing, The Centers for Disease Control and Prevention plan to distribute testing kits to speed up the diagnosis of the coronavirus. The CDC states that this measure will help speed up the testing and diagnosis of the coronavirus after cases in the U.S. reached 11. The Food and Drug Administration first has to approve the test for wider distribution, the CDC said."
2020-02-03,India,India invalidated all e-visas given to Chinese passport holders since 15 January. It also has stopped giving out new e-visas to Chinese passport holders.
2020-02-03,Korea,Several exhibitors and South Korea's Black Eagles have decided to pull out of the Singapore Airshow. This comes as the virus situation worsens.
2020-02-03,Singapore,"|access-date=24 February 2020 |website=The Straits Times |date=3 February 2020}}</ref>K-pop band Winner (band)|Winner cancelled its concert in Singapore, supposed to be held on 8 February. Several Huayi events in Esplanade – Theatres on the Bay|Esplanade were cancelled owing to travel restrictions. In addition, a Stage Club play was postponed."
2020-02-04,China,"|access-date=24 February 2020 |website=The Straits Times |date=3 February 2020}}</ref>The President of Federated States of Micronesia, David Panuelo, declared a state of emergency. Accordingly, Micronesian citizens are banned from visiting mainland China. Anyone who had been in mainland China from 6 Jan were barred from entering the country."
2020-02-04,Iran,Iran bans exports of facial masks to reduce shortages as domestic use increases significantly.
2020-02-04,Other,"The Beijing–Nanning–Hanoi through train|Nanning–Hanoi through train shall cease service as per agreement between the two national operators. Accordingly, the last train from Nanning railway station departed at 18:05 4 February, and the last from Gia Lâm railway station at 21:20 5 February."
2020-02-04,Other,The city government of Macau ordered a shut down of all casinos for at least 15 days.
2020-02-04,China,"The United Kingdom directed its citizens to leave China if possible. Foreign Secretary Dominic Raab said, \""We now advise British Nationals in China to leave the country if they can, to minimise their risk of exposure to the virus.\"""
2020-02-04,Israel,The Knesset in Israel is forming a special committee to deal with coronavirus.
2020-02-04,China,"Cathay Pacific|Cathay Pacific Airways, the flag carrier of Hong Kong, announces that it is ceasing 90% of its flights to mainland China."
2020-02-04,Hong Kong,"Royal Caribbean Cruises cancels more ships and adds Hong Kong on the No-Board list. This goes beyond what the Cruise Lines International Association had done, the day before."
