Date,Country,Event
2020-03-01,Korea,"Authorities in South Korea advised people to stay indoors and not attend any events. In addition, the school break was extended by one week across the country, and three weeks in Daegu."
2020-03-01,Other,"Seoul authorities have filed a complaint to prosecutors, asking them to charge the leader of Shincheonji Church of Jesus, Lee Man-hee and 11 others for murder and obstructing efforts to contain the coronavirus."
2020-03-01,United States,"In the United States, the American Physical Society cancelled its annual meeting, which was to be held in Denver, Colorado from 2 to 6 March."
2020-03-01,Japan,"In Japan, one of Sharp Corporation|Sharp Corporation's LCD panel factories will turn some of its production capacity to surgical masks. At end of March it will produce 150,000 masks a day, eventually rising to 500,000 a day. Other Japanese mask makers have increased their production 5-fold, rising from 20 million, to 100 million masks per week, combined."
2020-03-02,Germany,"File:Plakat Coronavirus rot de.jpg|thumb|Swiss poster explaining the rules of hygiene and good reactions in case of symptoms (in German, 2 March 2020)The European Centre for Disease Prevention and Control announced that it has increased the risk level from moderate to high for people in the European Union."
2020-03-02,United States,"In the United States, several schools were closed in the state of Washington due to the rise of coronavirus cases."
2020-03-02,United Kingdom,"The United Kingdom calls an emergency meeting on the virus, as cases there increased by 12."
2020-03-02,Poland,The Lower House of the Polish Parliament passed a bill on special measures regarding the spread of the new coronavirus.
2020-03-02,Other,"The leader of Shincheonji Church of Jesus, Lee Man-hee, apologised for its role in the outbreak."
2020-03-02,China,"New Zealand extended travel restrictions on Iran and China by seven days. In addition, travellers arriving from northern Italy and South Korea will be required to self-isolate for 14 days."
2020-03-02,Portugal,"The Badminton World Federation announced it has postponed the Portugal International tournament, originally scheduled to be held from 5 to 8 March."
2020-03-03,Korea,"South Korean president Moon Jae-in declared war on the epidemic, with more hospital beds and face masks to be made available. More than 30 trillion South Korean won|won will be injected into the economy for support, and government agencies will operate round the clock."
2020-03-03,Korea,South Korean CDC officials approve the first test completed by a Korean life science company and approve another test the following day.
2020-03-03,Indonesia,Indonesia plans to build a hospital in Galang Island to treat people with the coronavirus .
2020-03-03,Iran,"Singapore will ban visitors arriving from South Korea, Iran and northern Italy from 4 March, with Singapore citizens, permanent residents and long-term pass holders returning from these places to be issued Stay-Home Notices (SHN) lasting 14 days. In addition, all travellers entering Singapore with fever or signs of respiratory illness will be required to undergo swab tests, with penalties for refusal. The travel advisory is expanded to include Iran, northern Italy, Japan and South Korea."
2020-03-03,China,"India suspended all visas belonging to citizens of Italy, Iran, South Korea and Japan immediately, along with travellers who went to these places. Authorities advised against non-essential travel to China, Iran, Italy and South Korea, along with medical screening for travellers arriving from 14 places."
2020-03-03,Iran,"Iran has temporarily released more than 54,000 prisoners due to the spread of the new coronavirus in crowded jails."
2020-03-03,Hong Kong,Hong Kong arranged four chartered flights to evacuate 533 Hong Kong residents stuck in Hubei province.
2020-03-03,Other,"The World Health Organization (WHO) director general has stated that the latest global death rate of the new coronavirus outbreak is far higher than seasonal flu, 3.4% and much less than 1% respectively."
2020-03-03,France,"France has closed about 120 schools in virus-hit areas having the highest number of infections, with more expected to shut in the coming days. Schools in Oise will remain shut until further notice, while schools in Morbihan will remain shut until 14 March."
2020-03-03,Australia,Australia will use a little-known biosecurity law (the ''Biosecurity Act 2015''
2020-03-03,Italy,"Italy announced that it may set up quarantine red zones to contain the spread of the virus. As a result of the outbreak, a wine fair has been cancelled."
2020-03-04,Canada,"Canadian Prime Minister of Canada|Prime Minister Justin Trudeau announced the creation of a new Cabinet committee (Canada)|cabinet committee to manage \""the federal response to the coronavirus disease.\"""
